     N_i   N_i_th      N_j   N_j_th

       1 	0  	 0 	  0
 0.99198  0.09447  0.00801 -0.00524
 0.96909  0.16854  0.03090 -0.01982
 0.93308  0.22394  0.06691 -0.04198
  0.8857  0.26243    0.114 -0.06998
 0.82869  0.28576  0.17131 -0.10206
 0.76381  0.29567  0.23619 -0.13646
 0.69281  0.29392  0.30719 -0.17145
 0.61744  0.28226  0.38256 -0.20528
 0.53944  0.26243  0.46056 -0.23619
 0.46056  0.23619  0.53944 -0.26243
 0.38256  0.20528  0.61744 -0.28226
 0.30719  0.17145  0.69281 -0.29392
 0.23619  0.13646  0.76381 -0.29567
 0.17131  0.10206  0.82869 -0.28576
  0.1143 0.069981   0.8857 -0.26243
0.066919 0.041989  0.93308 -0.22394
0.030908 0.019828  0.96909 -0.16854
0.008018 0.005248  0.99198 -0.09447
       0 	0 	 1 	  0
